rank,domain,ip,ping_ms,dns_ms,tcp_handshake_ms,tcp_transfer_ms,total_ms,url
849,ninisite.com,185.143.234.120,250.041,233.497,471.53499999999997,2599.097,3304.129,https://ninisite.com
850,snaptik.app,104.18.22.79,161.037,26.522000000000002,1261.853,1632.7659999999998,2921.141,https://snaptik.app
851,aka.ms,23.209.218.9,261.826,248.948,425.72700000000003,1271.2119999999998,1945.887,https://aka.ms
852,kakuyomu.jp,13.225.158.28,92.271,11.053,90.032,1542.7359999999999,1643.821,https://kakuyomu.jp
853,bikewale.com,13.33.45.35,106.398,254.346,387.67499999999995,1414.7300000000002,2056.751,https://bikewale.com
854,therapservices.net,162.159.135.42,171.439,349.194,436.257,2225.777,3011.228,https://therapservices.net
855,sapo.pt,213.13.145.114,234.636,8.938,272.248,2804.373,3085.5589999999997,https://sapo.pt
856,trilltrill.jp,3.175.227.2,83.886,20.239,89.362,496.783,606.384,https://trilltrill.jp
857,rayjump.com,54.222.243.36,,63.376000000000005,6.776999999999991,27.966000000000005,98.119,https://rayjump.com
858,fastdl.app,104.26.15.180,172.375,7.887999999999999,175.134,609.34,792.362,https://fastdl.app
859,sun.com,138.1.33.162,,22.377000000000002,493.5160000000001,2056.7309999999998,2572.624,https://sun.com
860,tupi.fm,172.67.73.21,225.593,218.766,390.699,1657.683,2267.148,https://tupi.fm
861,porno666.fo,46.28.234.143,132.7,11.117999999999999,153.21800000000002,332.106,496.442,https://porno666.fo
862,uci.edu,44.237.37.40,,289.803,199.212,601.042,1090.057,https://uci.edu
863,bingoplus.com,104.18.39.37,180.716,49.847,214.197,479.262,743.306,https://bingoplus.com
864,meteociel.fr,152.228.182.16,131.759,327.721,450.304,2854.873,3632.898,https://meteociel.fr
865,syosetu.org,172.66.167.119,201.603,10.361,207.165,439.41799999999995,656.944,https://syosetu.org
866,nya2.com,172.64.145.116,181.994,54.106,196.27900000000002,621.648,872.0329999999999,https://nya2.com
867,screener.in,3.7.241.105,,218.762,415.453,1047.0,1681.215,https://screener.in
868,pussyboy.net,104.21.95.149,191.142,7.545,222.017,454.309,683.871,https://pussyboy.net
869,skelbiu.lt,104.18.36.166,188.093,300.466,206.00099999999998,459.92,966.387,https://skelbiu.lt
870,site.com,35.176.92.19,,10.129000000000001,215.861,467.89300000000003,693.883,https://site.com
871,autoplius.lt,172.64.155.196,170.027,469.53000000000003,202.24399999999997,437.33199999999994,1109.106,https://autoplius.lt
872,mamastar.jp,3.173.238.89,59.194,51.66,89.63,837.9029999999999,979.193,https://mamastar.jp
873,girlschannel.net,54.65.136.72,,130.173,104.991,786.828,1021.992,https://girlschannel.net
874,chordtela.com,104.26.2.102,180.084,8.366999999999999,234.561,482.88,725.808,https://chordtela.com
875,tjk.org,195.200.222.210,295.989,382.946,786.98,4322.267,5492.193,https://tjk.org
876,indoav.com,172.67.185.158,185.284,290.90700000000004,507.587,1823.0120000000002,2621.5060000000003,https://indoav.com
877,desitales2.com,104.26.14.212,229.325,9.796,181.357,382.151,573.3040000000001,https://desitales2.com
878,indiansexstories3.com,172.67.70.143,234.908,26.221,251.92199999999997,514.3770000000001,792.52,https://indiansexstories3.com
